src,src_port,dst,dst_port,original_dataset,original_label,event_generator,event_signature,event_priority,ndpi_risk,ndpi_detected_protocol,payload_bytes_first,packet_pay_size-3,C_packets_rst_avg,packet_pay_size-2,dst2src_packets_rate,C_packets_rst_min,C_packets_urg_avg,src2dst_packets_rate,C_packets_fin_avg,C_idletime_max,http_response_status_code,packet_header_size-4,dst2src_inter_time_std,packet_header_size-0,C_packets_rst_std,payload_bytes_max,src2dst_header_bytes_min,C_dst2src_packets_rate_max,packet_pay_size-8,dst2src_header_bytes_min,http_request_version,src2dst_header_bytes_max,dns_query_type,payload_bytes_avg,dst2src_header_bytes_std,C_dst2src_packets_rate_min,C_packets_syn_std,C_src2dst_packets_rate_max,packet_header_size-7,C_packets_syn_max,C_tcp_retransmissions_max,packets_fin,src2dst_pay_bytes,packet_header_size-6,dst2src_packets,inter_time-10,C_packets_ack_avg,src2dst_header_bytes,inter_time-9,C_idletime_std,C_dst2src_pay_bytes_rate_max,packet_direction-5,C_src2dst_pay_bytes_max,packet_direction-0,packet_direction-1,inter_time-7,packets_rst,C_packets_psh_min,C_src2dst_pay_bytes_rate_avg,src2dst_inter_time_std,C_src2dst_pay_bytes_avg,dns_num_answers,packet_pay_size-7,C_number_of_contacts,detection_completed,inter_time-6,src2dst_header_bytes_std,packets_ack,C_packets_rst_max,inter_time-3,dst2src_header_bytes_avg,C_duration_avg,C_packets_ack_min,dns_query_class,C_dst2src_pay_bytes_std,C_packets_syn_avg,C_packets_psh_max,C_src2dst_packets_rate_avg,dst2src_pay_bytes_min,C_dst2src_header_bytes_min,src2dst_inter_time_max,src2dst_pay_bytes_min,http_method,C_packets_psh_avg,C_dst2src_header_bytes_std,C_packets_ack_std,flow_use_time,inter_time-2,dst2src_inter_time_min,C_dst2src_packets_rate_std,packet_pay_size-4,C_packets_ack_max,C_dst2src_packets_max,C_src2dst_pay_bytes_min,dns_num_queries,inter_time-8,packet_header_size-8,src2dst_pay_bytes_max,protocol,dst2src_pay_bytes_max,http_content_type,C_src2dst_packets_avg,C_src2dst_pay_bytes_rate_std,response_rel_time,packet_pay_size-10,inter_time_min,packet_header_size-1,dns_reply_code,inter_time_avg,C_packets_psh_std,src2dst_header_bytes_avg,packet_direction-9,C_dst2src_packets_std,packet_header_size-9,src2dst_packets,payload_bytes,packet_pay_size-5,http_num_request_headers,packet_header_size-2,packet_direction-4,packet_direction-7,C_tcp_retransmissions_min,C_duration_min,C_dst2src_pay_bytes_avg,dst2src_pay_bytes_avg,C_dst2src_header_bytes_max,C_packets_syn_min,packet_direction-3,http_num_response_headers,C_packets_fin_std,C_duration_std,C_src2dst_header_bytes_max,packets_syn,C_dst2src_header_bytes_avg,C_src2dst_pay_bytes_rate_min,packets_psh,src2dst_pay_bytes_rate,C_tcp_retransmissions_std,C_idletime_avg,C_src2dst_packets_rate_min,C_src2dst_packets_max,C_duration_max,packet_direction-6,C_packets_fin_max,C_packets_urg_std,C_src2dst_packets_rate_std,dst2src_header_bytes,payload_bytes_std,C_dst2src_pay_bytes_rate_avg,src2dst_inter_time_min,flow_duration,C_src2dst_pay_bytes_std,C_src2dst_packets_min,C_packets_urg_min,inter_time-5,dst2src_header_bytes_max,packet_direction-10,dst2src_inter_time_max,packet_pay_size-0,packets,inter_time_max,inter_time_std,C_src2dst_packets_std,packets_urg,packet_direction-8,dst2src_pay_bytes_rate,src2dst_inter_time_avg,dns_rsp_type,flow_idle_time,packet_header_size-3,inter_time-0,C_dst2src_pay_bytes_min,dst2src_pay_bytes_std,C_src2dst_header_bytes_avg,C_dst2src_packets_avg,bytes,packets_without_payload,C_tcp_retransmissions_avg,inter_time-1,C_src2dst_pay_bytes_rate_max,inter_time-4,C_dst2src_pay_bytes_max,packet_pay_size-6,dst2src_pay_bytes,payload_bytes_min,tcp_retransmissions,C_packets_fin_min,C_dst2src_packets_rate_avg,dst2src_inter_time_avg,packet_header_size-5,packet_pay_size-1,packet_header_size-10,C_dst2src_pay_bytes_rate_std,src2dst_pay_bytes_std,C_idletime_min,C_src2dst_header_bytes_std,src2dst_pay_bytes_avg,packet_pay_size-9,packet_direction-2,C_src2dst_header_bytes_min,C_dst2src_packets_min,C_packets_urg_max,C_dst2src_pay_bytes_rate_min
147.32.84.165,1036,195.113.232.90,80,CTU13/4,From-Botnet-V45-TCP-Established-HTTP-Ad-62,,,,Unrated,0/Unknown,0,-1,0,-1,0,0,0,0,0,0,-1,-1,0,40,0,0,40,0,-1,0,-1,40,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,80,-1,0,0,-1,0,1,1,-1,2,0,0,0,0,-1,-1,0,0,-1,0,2,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,-1,-1,-1,0,TCP,0,-1,0,0,0,-1,0,40,-1,0,0,40,-1,0,-1,2,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,2,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,108,2,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0
147.32.84.165,137,192.168.88.121,54053,CTU13/4,From-Botnet-V45-UDP-Attempt,,,,Unrated,0/Unknown,62,-1,0,-1,0,0,0,0,0,0,-1,-1,0,28,0,62,28,0,-1,0,-1,28,-1,62,0,0,0,0,-1,0,0,0,124,-1,0,-1,0,56,-1,0,0,-1,124,1,1,-1,0,0,0,0,124,-1,-1,1,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,62,-1,0,0,0,0,-1,0,0,-1,0,0,124,-1,-1,-1,62,UDP,0,-1,2,0,0,-1,0,28,-1,0,0,28,-1,0,-1,2,124,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,56,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,2,0,-1,0,-1,0,62,2,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,56,0,208,0,0,0,0,-1,0,-1,0,62,0,0,0,0,-1,62,-1,0,0,0,0,62,-1,-1,56,0,0,0
147.32.84.165,1025,147.32.80.9,53,CTU13/4,From-Botnet-V45-UDP-DNS,,,,Acceptable,5/DNS,34,31,0,437,0,0,0,0,0,3402621,-1,28,551809,28,0,437,28,1000,31,28,-1,28,-1,108,0,0,0,3000,28,0,0,0,9261,28,64,92142,0,7644,0,387616,437,1,136,1,1,30740,0,0,8,239110,53,-1,31,101,1,30719,0,0,0,3402621,28,5,0,-1,149,0,0,257,123,0,3402649,31,-1,0,15,0,532,28,0,209,31,0,2,31,-1,368639,28,34,UDP,437,-1,1,19,28,31,0,28,-1,43551,0,28,0,0,28,273,36601,31,-1,28,1,1,0,0,457,427,56,0,1,-1,0,10,112,0,10,0,0,0,0,112250,0,4,53,1,0,0,584,1792,156,30,0,14676880,26,1,0,30708,28,1,3863428,34,337,3402621,216240,0,0,1,0,53761,-1,14676348,28,0,123,54,43,0,50755,0,0,0,102,1,874,31,27340,31,0,0,68,229326,28,34,28,91,1,30638,21,33,123,0,28,0,0,0
147.32.84.165,1037,86.65.39.15,6667,CTU13/4,From-Botnet-V45-TCP-CC106-IRC-Not-Encrypted,,,,Unsafe,65/IRC,0,0,0,0,0,0,0,0,0,1597396,-1,40,348558,48,0,1460,40,1000,0,40,-1,48,-1,96,2,0,0,2000,40,0,0,2,2698,40,49,0,2,2976,147,367744,33,1,556,1,1,38,0,1,8,239061,122,-1,67,28,1,0,1,121,0,0,40,83,1,-1,1515,0,9,178,30,0,1474560,21,-1,2,43,2,2349,38,0,232,0,12,6,30,-1,0,40,211,TCP,1460,-1,1,24,0,0,0,48,-1,51889,1,40,1,1,40,74,11892,46,-1,48,1,0,0,0,417,306,240,0,1,-1,0,320,240,3,42,0,73,0,0,220369,0,6,1729,1,1,0,446,1980,288,3,0,6382463,135,0,0,0,52,1,1720321,0,123,1474560,190170,1,0,0,0,86249,-1,6380114,40,0,30,525,65,1,18570,47,0,0,118,0,7327,46,9194,0,0,0,82,121476,40,0,40,8,43,1883,56,58,0,0,0,0,0,0
86.65.39.15,44048,147.32.84.165,113,CTU13/4,Background-TCP-Established,,,,Unrated,0/Unknown,0,0,0,0,78,0,0,65,0,0,-1,52,17,60,0,28,52,0,0,52,-1,60,-1,6,5,0,0,0,52,0,1,1,13,52,6,0,3,268,0,0,0,0,13,1,0,38,0,3,0,18,13,-1,0,1,0,0,3,10,0,38,56,0,3,-1,0,0,3,0,28,104,38,13,-1,3,0,0,0,0,0,0,13,3,2,13,-1,0,52,13,TCP,28,-1,1,0,0,0,0,64,-1,6,0,53,0,0,52,5,69,28,-1,64,1,1,1,0,56,28,104,0,1,-1,0,0,52,3,104,0,3,0,0,0,0,1,0,0,0,0,0,336,10,0,0,76,0,1,0,0,64,0,38,0,11,38,14,0,0,1,0,15,-1,76,52,0,56,0,52,2,827,8,1,0,0,0,56,28,56,0,1,0,0,12,52,0,52,0,0,0,0,13,0,0,52,2,0,0
85.190.0.3,48643,147.32.84.165,3128,CTU13/4,Background-TCP-Attempt,,,,Unrated,0/Unknown,0,-1,0,0,2000,0,0,1000,0,0,-1,-1,0,60,0,0,60,0,-1,40,-1,60,-1,0,0,0,0,0,-1,0,0,0,0,-1,2,-1,0,60,-1,0,0,-1,0,1,0,-1,2,0,0,0,0,-1,-1,0,0,-1,0,2,0,-1,40,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,TCP,0,-1,0,0,0,-1,0,40,-1,0,0,60,-1,0,-1,1,0,-1,-1,40,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,80,0,0,0,1,0,0,0,-1,40,-1,1,0,3,1,0,0,0,-1,0,0,-1,1,-1,0,0,0,0,0,182,3,0,1,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
85.190.0.3,34230,147.32.84.165,9090,CTU13/4,Background-TCP-Attempt,,,,Unrated,0/Unknown,0,-1,0,0,1,0,0,0,0,0,-1,-1,592,60,0,0,60,0,-1,40,-1,60,-1,0,0,0,0,0,-1,0,0,0,0,-1,2,-1,0,60,-1,0,0,-1,0,1,0,-1,2,0,0,0,0,-1,-1,0,0,-1,0,2,0,-1,40,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1184,0,0,-1,0,0,0,-1,-1,-1,0,TCP,0,-1,0,0,0,-1,0,40,-1,394,0,60,-1,0,-1,1,0,-1,-1,40,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,80,0,0,0,1184,0,0,0,-1,40,-1,1184,0,3,1184,558,0,0,-1,0,0,-1,1184,-1,0,0,0,0,0,182,3,0,0,0,-1,0,-1,0,0,0,0,0,592,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
147.32.84.165,138,147.32.84.255,138,CTU13/4,,,,,Acceptable,10/NetBIOS,201,190,0,190,0,0,0,0,0,8908786,-1,28,0,28,0,201,28,0,190,0,-1,28,-1,195,0,0,0,5000,28,0,0,0,3709,28,0,1,0,532,59991,3297133,0,1,1944,1,1,4454410,0,0,138,2162802,529,-1,190,7,1,8908786,0,0,0,0,0,0,0,-1,0,0,0,714,0,0,8908786,190,-1,0,0,0,2,56771,0,0,201,0,0,201,-1,0,28,201,UDP,0,-1,2,340,0,201,0,28,-1,757955,0,28,1,0,28,19,3709,201,-1,28,1,1,0,0,0,0,0,0,1,-1,0,0,280,0,0,0,0,0,0,2400191,0,10,2,1,0,0,1749,0,5,0,0,14401148,583,1,0,184308,0,1,0,201,19,8908786,2162802,3,0,1,0,757955,-1,14401146,28,0,0,0,76,0,4507,0,0,0,972,736880,0,201,0,190,0,0,0,0,28,201,28,0,5,56771,84,195,201,1,28,0,0,0
147.32.84.165,137,192.168.88.121,45053,CTU13/4,From-Botnet-V45-UDP-Attempt,,,,Unrated,0/Unknown,62,-1,0,-1,0,0,0,0,0,0,-1,-1,0,28,0,62,28,0,-1,0,-1,28,-1,62,0,0,0,0,-1,0,0,0,124,-1,0,-1,0,56,-1,0,0,-1,124,1,1,-1,0,0,0,0,124,-1,-1,1,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,62,-1,0,0,0,0,-1,0,0,-1,0,0,124,-1,-1,-1,62,UDP,0,-1,2,0,0,-1,0,28,-1,0,0,28,-1,0,-1,2,124,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,56,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,2,0,-1,0,-1,0,62,2,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,56,0,208,0,0,0,0,-1,0,-1,0,62,0,0,0,0,-1,62,-1,0,0,0,0,62,-1,-1,56,0,0,0
147.32.84.79,32806,147.32.84.165,0,CTU13/4,,,,,Unrated,0/Unknown,27,-1,0,-1,0,0,0,0,0,0,-1,-1,0,28,0,27,28,0,-1,0,-1,28,-1,27,0,0,0,0,-1,0,0,0,27,-1,0,-1,0,28,-1,0,0,-1,27,1,-1,-1,0,0,0,0,27,-1,-1,1,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,27,-1,0,0,0,0,-1,0,0,-1,0,0,27,-1,-1,-1,27,UDP,0,-1,1,0,0,-1,0,-1,-1,0,0,28,-1,0,-1,1,27,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,28,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,27,1,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,28,0,69,0,0,-1,0,-1,0,-1,0,27,0,0,0,0,-1,-1,-1,0,0,0,0,27,-1,-1,28,0,0,0
